index|0
Here’s my rolling list of all the places that are present in my mind so far|restaurants
I will update it periodically as I discover new things|restaurants
It is by no means exhaustive, these are places I have been in the past, and a few of…|restaurants
restaurant details: website , IG I finally made it here and can genuinely say that I totally believe all the fanfare bandied around Christophe Pele’s gem in the house of Haut Brion|Haut Brion
His cuisine is one of modernity, subtlety and clarity|restaurants
Decidedly French with flourishes…|restaurants
restaurant details: website , IG I am so glad to finally see Endo san in his own digs|restaurants
I’ve been waiting 3 years since my first taste of Sushi Endo courtesy of @natsukipim‘s Hoxcup sake bar popup, and knew then that he had something very…|restaurants
restaurant details : website , IG It’s now been over a year since Alex Dilling took over the reigns from Arnaud Bignon, and what year it has been for this this charming little restaurant that has survived the decades with its series of chefs|restaurants
Alex…|restaurants
I really liked Viajante when it was around, this is going back nearly a decade now, then latterly Taberna, both pushed out some delicious things for us Londoners, though both are now shut and superseded by Nuno’s other projects (Chiltern holding fort, Maos gaining steam,…|restaurants
…It was with a heavy heart that I dined at Londrino for the last time in February this year|Londrino
It was one of my favourite new openings in London, as it stood apart from the mass market IG-friendly model, here was a Chef interested in…|restaurants
Another year, another new Bao opening|Bao
As I understand, up till now, Erchen has been the creative soul of the kitchen, but for Borough, she is sharing the role of developing the new menu with Anaïs van Manen, who works as a development chef for…|restaurants
The last time I wrote about Tokyo tonkatsu, was a back to back post on two of Tokyo’s best – Narikura and Tonta|Tokyo tonkatsu
As you know I love tonkatsu and this year chose to visit this relative newcomer to the Tonkatsu scene, which is slowly…|restaurants
Other visits: Nov 2018 • April 2018 • Nov 2017 • June 2016 • April 2016 The 2019 prices have risen nearly across the board, though quality remains ever so high here at L’Arpege|L’Arpege
Spontaneity and creativity reign supreme, Passard and his kitchen still immensely spirited in their practice of…|restaurants
other visits: May 2019 • April 2018 • Nov 2017 • June 2016 • April 2016 This time out at Rue Varenne, it was a full-on ALC affair, in the deep Autumn of 2018, during which arguably the best White Truffle season in memory was in full swing|Rue Varenne
The Celerisotto…|The Celerisotto
Having followed the rise of Restaurant Florilege with great interest for the last few years, I’m glad to have finally made it not just to honten, but also to the crew’s sister restaurant located in Daan, Taipei|Restaurant Florilege
I’m certain you’ve already come across Hiroyasu Kawate,…|restaurants
It’s been over a year since Wagyu Mafia crew were in London to ‘perform’ (in their vernacular) a one-off event (titled Grilleasy) for the OAD awards ceremony for the 2018 revision|Wagyu Mafia
This year Steve is in food heaven Donostia to announce the 2019 list|Donostia
It…|restaurants
There were many highlights in my 2018 calendar, though the one that stands out is without a doubt Sorrel|Sorrel
Steve Drake is someone whose been round the block, yet because he has operated outside of London for most of his career as head chef, he…|restaurants
Pictures and descriptions from a revisit to Ben Marks’ ever improving Perilla|Perilla
This time, I asked Ben if he would make his Blackbird dish which he entered for GBM 2019, to which he kindly obliged|restaurants
I’ve been thoroughly impressed by the young Chef’s progression ever…|restaurants
Bjorn Frantzén was in London for one night only, pitching up at Bibendum’s on a tuesday night in May to do a collaboration with our Claude Bosi|Bibendum’s
I was rather excited about it, a dinner with two two leading lights in gastronomy at the peak…|restaurants
Many attempts have been made to pigeon hole this restaurant ever since it stormed on to the London scene in late 2017, though none are accurate reflections of what to expect when you eventually sit down for a meal here|restaurants
Which is great, if you…|restaurants
Finally after months of anticipation, the great Tom Kemble has unveiled his next move in his culinary career|restaurants
As you know, I was a loyal fan of Bonhams Restaurant, and in a state when Tom decided to leave the restaurant (and London) in the Summer…|Bonhams Restaurant
Gazpacho, BBQ Scottish lobster, datterini, English peas, avocado, capezzana olive oil, coriander|restaurants
Native lobster tail, blood peach, chives, paprika, Capezzana EVOO|restaurants
Dorset lobster, coral cognac sauce, blood peach, chives, capezzana olive oil, cayenne pepper|restaurants
Lobster soup|restaurants
A simple pleasure, and one of my favourite things.…|restaurants
Chris Leach and David Carter’s hit residency 10 Heddon Street has gone permanent in the form of new restaurant Manteca|Manteca, 10 Heddon Street
The restaurant brings the same ethos as appeared at 10 Heddon Street, with nose-to-tail dining and homemade pasta dishes the stars|10 Heddon Street
Leach, from Pitt Cue, Sager and Wilde, and Kitty Fisher’s, joined Carter, chef and […]|restaurants
Wagamama has launched a new grab-and-go concept called Mamago, with the first opening at 120 Fenchurch St, London, on Tuesday|Wagamama, Mamago
Executive chef Steve Mangleshot said he and his team travelled across Asia developing a menu that features rice bowls, breakfast wraps, vegan dishes, salads, noodles, omelettes, fresh juices, and smoothies|restaurants
Mangleshot said: “We’ve borrowed a […]|restaurants
Corbin & King recorded turnover exceeding £40m in 2018, remaining “strong in a competitive environment”|Corbin & King
The restaurant group, which recently opened Soutine, closed Bellanger, and has more projects on the way next year, reached £44.1m in turnover and saw sales increase by 2.5 per cent|Soutine, Bellanger
Accounts lodged with Companies House cover the nine months from […]|Companies House
The Forest Side in Grasmere has appointed a new head chef|The Forest Side
The acclaimed Lake District restaurant, where food is “similar to L’Enclume” and “worth every penny”, sees Paul Leonard take charge following Kevin Tickle’s departure|Lake District, L’Enclume
Leonard has cooked under giants of the trade such as Marcus Wareing and Andrew Fairlie, and retained a Michelin star […]|restaurants
The UK’s top chefs have paid tribute to Gary Rhodes after his family announced he had died aged 59 on Wednesday|restaurants
Rhodes passed away in Dubai, where he had been living and working since 2011|restaurants
He was at home when he died on Tuesday “with his beloved wife Jennie by his side”|restaurants
“The Rhodes family […]|restaurants
Cult burger brand Bleecker, in partnership with Brooklyn Brewery and creative agency Improper, has announced the launch of Rage for Good, a series of events championing some of the unsung people working to improve the lives of the LGBTQ+ community through activism|Bleecker, Rage for Good
The series celebrates the 50th anniversary of the riots at Stonewall Inn in […]|Stonewall Inn
Harden’s weekly update of where the critics are eating, recommending and avoiding, for the week ending 24 November 2019|restaurants
The Kinneuchar Inn, Fife Marina O’Loughlin for had four “evangelical” tips for the place she reviewed in The Sunday Times today – “it’s unusual to be sent four recommendations in a row for anywhere, let alone […]|The Kinneuchar Inn
A new Turkish, Middle Eastern restaurant, Baraka, has been announced to open in 2020 near Liverpool Street|Baraka
It will serve Anatolian cuisine with an emphasis on open flame Mangal cooking and “ancient recipes from across the Ottoman Empire”, an announcement said|restaurants
